Year,State,Plant name,Plant-level sector,eGRID subregion name,Plant FIPS state code,Plant FIPS county code,Plant county name,latitude,longitude,Number of units,Number of generators,Primary fuel source,Plant capacity factor,Plant nameplate capacity (MW),Nonbaseload Factor,CHP plant useful thermal output (MMBtu),CHP plant power to heat ratio,CHP plant electric allocation factor,Plant annual heat input from combustion (MMBtu),Plant total annual heat input (MMBtu),Plant annual net generation (MWh),Plant annual CO2 emissions (tons),Plant annual CO2 equivalent emissions (tons),Plant annual CO2 total output emission rate (lb/MWh),Plant annual CO2 equivalent total output emission rate (lb/MWh),Plant annual CO2 input emission rate (lb/MMBtu),Plant annual CO2 equivalent input emission rate (lb/MMBtu),Plant nominal heat rate (Btu/kWh),Plant annual coal net generation (MWh),Plant annual oil net generation (MWh),Plant annual gas net generation (MWh)
2022.0,CA,Redlands Community Hospital,IPP Non-CHP,WECC California,06,071,San Bernardino,34.03625,-117.206211,1.0,1.0,GAS,0.96025,1.1,0.0,,,,,60719.0,9253.0,,,,,,,,0.0,0.0,9253.0
2022.0,CA,Regional Wastewater Control Facility,Commercial CHP,WECC California,06,077,San Joaquin,37.9369,-121.3294,4.0,4.0,OIL,0.13877,4.8,1.0,57696.0,0.345,0.315174,50564.628,50564.628,5835.0,452.416,455.639,155.07,156.174,17.895,18.022,8665.864908,0.0,2.953,193.341
2022.0,CA,Richard J Donovan Correctional Facility,Commercial CHP,WECC California,06,073,San Diego,32.583571,-116.930907,1.0,1.0,GAS,0.0,2.6,,0.0,,1.0,,,0.0,,,,,,,,0.0,0.0,0.0
2022.0,CA,Richmond Cogen,Industrial CHP,WECC California,06,013,Contra Costa,37.9418,-122.3909,5.0,4.0,GAS,0.58823,173.5,0.352948078551094,6006780.8,0.508,0.403806,4596268.396,4596268.396,894029.0,268627.211,268904.792,600.936,601.557,116.889,117.01,5141.073048,0.0,0.0,866604.238
2022.0,CA,Ripon Generation Station,Electric Utility,WECC California,06,077,San Joaquin,37.7315,-121.116,2.0,2.0,GAS,0.01855,121.0,1.0,,,,245582.84,245582.84,19662.0,14594.279,14608.283,1484.516,1485.941,118.854,118.968,12490.226198,0.0,0.0,19662.001
2022.0,CA,Riverside Energy Resource Center,Electric Utility,WECC California,06,065,Riverside,33.9636,-117.4528,4.0,4.0,GAS,0.04575,196.0,1.0,,,,855697.776,855697.776,78556.0,50849.849,50900.61,1294.614,1295.906,118.85,118.969,10892.838063,0.0,0.0,78555.999
2022.0,CA,Riverview Energy Center,IPP Non-CHP,WECC California,06,013,Contra Costa,38.014423,-121.790679,1.0,1.0,GAS,0.04341,47.0,1.0,,,,193345.706,193345.706,17871.0,11489.713,11500.924,1285.85,1287.105,118.851,118.967,10818.96402,0.0,0.0,17871.0
2022.0,CA,Rockwood,Electric Utility,WECC Southwest,06,025,Imperial,32.9553,-115.5364,2.0,2.0,GAS,0.00662,49.8,1.0,,,,39835.0,39835.0,2890.0,2790.589,2796.207,1931.203,1935.091,140.107,140.389,13783.737024,0.0,1062.229,1827.771
2022.0,CA,Roll Delano,IPP Non-CHP,WECC California,06,029,Kern,35.734167,-119.236667,1.0,1.0,GAS,0.6778,1.2,0.20367199391172,,,,,54466.0,7125.0,,,,,,,,0.0,0.0,7125.0
2022.0,CA,Roll Delano 2,IPP Non-CHP,WECC California,06,029,Kern,35.739722,-119.238056,1.0,1.0,GAS,0.57691,1.6,0.371813165905632,,,,,61611.0,8086.0,,,,,,,,0.0,0.0,8086.0
